"condition","score","score_result"
"Anxiety",0.0645161290322581,"positive"
"Strep Throat",0.1,"positive"
"Bipolar Disorder",0.178571428571429,"positive"
"Migraine Prevention",-0.0634920634920635,"negative"
"Birth Control",0.0483870967741935,"positive"
"Bipolar Disorder",0.127272727272727,"positive"
"Depression",0.0232558139534884,"positive"
"Adhd",0.136363636363636,"positive"
"Pain",-0.181818181818182,"negative"
"Birth Control",0.0547945205479452,"positive"
"Vaginal Yeast Infection",-0.03125,"negative"
"Allergic Reactions",0.210526315789474,"positive"
"Smoking Cessation",-0.0169491525423729,"negative"
"Restless Legs Syndrome",-0.142857142857143,"negative"
"Birth Control",-0.0461538461538462,"negative"
"Bacterial Infection",0.0136986301369863,"positive"
"Birth Control",-0.109375,"negative"
"Depression",-0.0317460317460317,"negative"
"Chlamydia Infection",0.125,"positive"
"Sinusitis",0.0597014925373134,"positive"
"Eczema",0.104477611940299,"positive"
"Sinus Symptoms",-0.136363636363636,"negative"
"Bipolar Disorder",-0.0333333333333333,"negative"
"Birth Control",0.166666666666667,"positive"
"Overactive Bladder",0.75,"positive"
"Period Pain",0.0588235294117647,"positive"
"Birth Control",0.1875,"positive"
"Pain",0.0769230769230769,"positive"
"High Blood Pressure",-0.05,"negative"
"Chlamydia Infection",0,"neutral"
"Chronic Pain",1,"positive"
"Indigestion",-0.5,"negative"
"Birth Control",-0.235294117647059,"negative"
"Bipolar Disorder",0.0638297872340425,"positive"
"Weight Loss",0.0588235294117647,"positive"
"Benign Prostatic Hyperplasia",0.0566037735849057,"positive"
"Birth Control",0,"neutral"
"Abnormal Uterine Bleeding",-0.0151515151515152,"negative"
"Acne",0.212121212121212,"positive"
"Birth Control",0.0476190476190476,"positive"
"Hypogonadism, Male",0.0847457627118644,"positive"
"Pain",-0.0555555555555556,"negative"
"Weight Loss",-0.0714285714285714,"negative"
"Acne",0.108108108108108,"positive"
"Onychomycosis, Toenail",0.0972222222222222,"positive"
"Borderline Personality Disorder",0.0588235294117647,"positive"
"Generalized Anxiety Disorder",-0.0483870967741935,"negative"
"Sedation",-0.193548387096774,"negative"
"Rheumatoid Arthritis",0.0851063829787234,"positive"
"Postmenopausal Symptoms",0.0930232558139535,"positive"
"Birth Control",0.0344827586206897,"positive"
"Strep Throat",-0.178571428571429,"negative"
"Bowel Preparation",0,"neutral"
"Anxiety",0.0172413793103448,"positive"
"Weight Loss",0.0869565217391304,"positive"
"Headache",0,"neutral"
"Smoking Cessation",0.0714285714285714,"positive"
"Pain",0.333333333333333,"positive"
